Date,Close
9/27/2021,-8
9/28/2021,87
9/29/2021,-86
9/30/2021,8
10/1/2021,8
10/4/2021,77
10/5/2021,-78
10/6/2021,-99
10/7/2021,-78
10/8/2021,40
10/11/2021,-70
10/12/2021,36
10/13/2021,-63
10/14/2021,-75
10/15/2021,-94
10/18/2021,-24
10/19/2021,84
10/20/2021,76
10/21/2021,40
10/22/2021,-59
10/25/2021,5
10/26/2021,-24
10/27/2021,-82
10/28/2021,41
10/29/2021,68
11/1/2021,88
11/2/2021,-49
11/3/2021,-83
11/4/2021,87
11/5/2021,-70
11/8/2021,16
11/9/2021,-86
11/10/2021,2
11/11/2021,-47
11/12/2021,-90
11/15/2021,-16
11/16/2021,-47
11/17/2021,-25
11/18/2021,54
11/19/2021,-34
11/22/2021,-37
11/23/2021,-94
11/24/2021,-58
11/26/2021,-11
11/29/2021,62
11/30/2021,82
12/1/2021,-26
12/2/2021,72
12/3/2021,85
12/6/2021,22
12/7/2021,-43
12/8/2021,-86
12/9/2021,-74
12/10/2021,40
12/13/2021,38
12/14/2021,-43
12/15/2021,-42
12/16/2021,27
12/17/2021,-35
12/20/2021,91
12/21/2021,53
12/22/2021,86
12/23/2021,-80
12/27/2021,-32
12/28/2021,-5
12/29/2021,94
12/30/2021,-41
12/31/2021,76
1/3/2022,-79
1/4/2022,44
1/5/2022,96
1/6/2022,-38
1/7/2022,71
1/10/2022,-35
1/11/2022,-48
1/12/2022,-84
1/13/2022,86
1/14/2022,28
1/18/2022,-57
1/19/2022,-96
1/20/2022,-19
1/21/2022,70
1/24/2022,-93
1/25/2022,65
1/26/2022,20
1/27/2022,58
1/28/2022,76
1/31/2022,8
2/1/2022,-80
2/2/2022,71
2/3/2022,96
2/4/2022,-100
2/7/2022,-30
2/8/2022,-38
2/9/2022,-25
2/10/2022,-93
2/11/2022,13
2/14/2022,64
2/15/2022,2
2/16/2022,-28
2/17/2022,57
2/18/2022,-64
2/22/2022,72
2/23/2022,12
2/24/2022,-20
2/25/2022,-60
2/28/2022,-30
3/1/2022,52
3/2/2022,-26
3/3/2022,-71
3/4/2022,97
3/7/2022,31
3/8/2022,88
3/9/2022,82
3/10/2022,-39
3/11/2022,-69
3/14/2022,95
3/15/2022,-74
3/16/2022,-27
3/17/2022,78
3/18/2022,-15
3/21/2022,-32
3/22/2022,-44
3/23/2022,84
3/24/2022,-37
3/25/2022,-47
3/28/2022,-26
3/29/2022,-72
3/30/2022,52
3/31/2022,-11
4/1/2022,92
4/4/2022,-92
4/5/2022,95
4/6/2022,76
4/7/2022,-27
4/8/2022,61
4/11/2022,-9
4/12/2022,-72
4/13/2022,5
4/14/2022,58
4/18/2022,-9
4/19/2022,-92
4/20/2022,74
4/21/2022,-40
4/22/2022,45
4/25/2022,-65
4/26/2022,20
4/27/2022,69
4/28/2022,59
4/29/2022,27
5/2/2022,60
5/3/2022,31
5/4/2022,-14
5/5/2022,-74
5/6/2022,-75
5/9/2022,66
5/10/2022,40
5/11/2022,22
5/12/2022,-71
5/13/2022,86
5/16/2022,39
5/17/2022,45
5/18/2022,-62
5/19/2022,98
5/20/2022,81
5/23/2022,96
5/24/2022,-17
5/25/2022,-2
5/26/2022,19
5/27/2022,-15
5/31/2022,-43
6/1/2022,60
6/2/2022,5
6/3/2022,93
6/6/2022,81
6/7/2022,71
6/8/2022,48
6/9/2022,-16
6/10/2022,-63
6/13/2022,-92
6/14/2022,-51
6/15/2022,51
6/16/2022,-71
6/17/2022,44
6/21/2022,-72
6/22/2022,90
6/23/2022,51
6/24/2022,-69
6/27/2022,-88
6/28/2022,33
6/29/2022,-53
6/30/2022,82
7/1/2022,-97
7/5/2022,-69
7/6/2022,80
7/7/2022,-40
7/8/2022,90
7/11/2022,-74
7/12/2022,62
7/13/2022,46
7/14/2022,18
7/15/2022,-22
7/18/2022,-57
7/19/2022,-16
7/20/2022,38
7/21/2022,74
7/22/2022,-84
7/25/2022,-48
7/26/2022,-22
7/27/2022,73
7/28/2022,-67
7/29/2022,-17
8/1/2022,55
8/2/2022,-99
8/3/2022,-99
8/4/2022,-69
8/5/2022,8
8/8/2022,90
8/9/2022,-83
8/10/2022,-3
8/11/2022,53
8/12/2022,-14
8/15/2022,14
8/16/2022,55
8/17/2022,62
8/18/2022,57
8/19/2022,-54
8/22/2022,5
8/23/2022,-36
8/24/2022,-24
8/25/2022,8
8/26/2022,49
8/29/2022,81
8/30/2022,-38
8/31/2022,2
9/1/2022,-93
9/2/2022,-62
9/6/2022,5
9/7/2022,-55
9/8/2022,-5
9/9/2022,-71
9/12/2022,18
9/13/2022,-81
9/14/2022,-94
9/15/2022,-80
9/16/2022,44
9/19/2022,20
9/20/2022,-33
9/21/2022,-90
9/22/2022,-34
9/23/2022,-96
9/26/2022,-41
9/27/2022,-47
9/28/2022,-88
9/29/2022,-2
9/30/2022,-53
10/3/2022,73
10/4/2022,-11
10/5/2022,-69
10/6/2022,-89
10/7/2022,-76
10/10/2022,-86
10/11/2022,63
10/12/2022,99
10/13/2022,39
10/14/2022,-66
10/17/2022,32
10/18/2022,-46
10/19/2022,-94
10/20/2022,16
10/21/2022,84
10/24/2022,67
10/25/2022,-51
10/26/2022,91
10/27/2022,-65
10/28/2022,33
10/31/2022,70
11/1/2022,24
11/2/2022,-78
11/3/2022,13
11/4/2022,-22
11/7/2022,18
11/8/2022,-29
11/9/2022,-66
11/10/2022,-52
11/11/2022,-59
11/14/2022,21
11/15/2022,-29
11/16/2022,20
11/17/2022,79
11/18/2022,89
11/21/2022,-92
11/22/2022,98
11/23/2022,-70
11/25/2022,-84
11/28/2022,-33
11/29/2022,-49
11/30/2022,-72
12/1/2022,29
12/2/2022,-11
12/5/2022,87
12/6/2022,85
12/7/2022,57
12/8/2022,44
12/9/2022,-12
12/12/2022,-75
12/13/2022,45
12/14/2022,-41
12/15/2022,51
12/16/2022,-23
12/19/2022,54
12/20/2022,90
12/21/2022,56
12/22/2022,-15
12/23/2022,87
12/27/2022,-47
12/28/2022,-1
12/29/2022,87
12/30/2022,61
1/3/2023,20
1/4/2023,-61
1/5/2023,-36
1/6/2023,88
1/9/2023,-95
1/10/2023,-41
1/11/2023,20
1/12/2023,-47
1/13/2023,-36
1/17/2023,85
1/18/2023,97
1/19/2023,-60
1/20/2023,-66
1/23/2023,6
1/24/2023,94
1/25/2023,-77
1/26/2023,-100
1/27/2023,-3
1/30/2023,73
1/31/2023,57
2/1/2023,27
2/2/2023,31
2/3/2023,81
2/6/2023,-46
2/7/2023,63
2/8/2023,-47
2/9/2023,22
2/10/2023,-22
2/13/2023,-84
2/14/2023,40
2/15/2023,-30
2/16/2023,26
2/17/2023,65
2/21/2023,6
2/22/2023,54
2/23/2023,36
2/24/2023,-1
2/27/2023,81
2/28/2023,-62
3/1/2023,37
3/2/2023,41
3/3/2023,64
3/6/2023,-94
3/7/2023,-46
3/8/2023,59
3/9/2023,52
3/10/2023,-46
3/13/2023,79
3/14/2023,47
3/15/2023,16
3/16/2023,-99
3/17/2023,79
3/20/2023,90
3/21/2023,6
3/22/2023,32
3/23/2023,44
3/24/2023,-66
3/27/2023,11
3/28/2023,67
3/29/2023,27
3/30/2023,-64
3/31/2023,84
4/3/2023,-14
4/4/2023,-66
4/5/2023,-70
4/6/2023,-67
4/7/2023,80
4/10/2023,-91
4/11/2023,-45
4/12/2023,48
4/13/2023,-12
4/14/2023,-53
4/17/2023,41
4/18/2023,20
4/19/2023,67
4/20/2023,96
4/21/2023,-58
4/24/2023,-5
4/25/2023,-90
4/26/2023,4
4/27/2023,-40
4/28/2023,-19
5/1/2023,53
5/2/2023,-34
5/3/2023,-60
5/4/2023,-37
5/5/2023,-74
5/8/2023,-78
5/9/2023,-42
5/10/2023,-57
5/11/2023,43
5/12/2023,-40
5/15/2023,-82
5/16/2023,-13
5/17/2023,50
5/18/2023,-23
5/19/2023,-40
5/22/2023,27
5/23/2023,44
5/24/2023,20
5/25/2023,3
5/26/2023,63
5/30/2023,-79
5/31/2023,-9
6/1/2023,35
6/2/2023,-91
6/5/2023,-6
6/6/2023,-77
6/7/2023,84
6/8/2023,-65
6/9/2023,-48
6/12/2023,-34
6/13/2023,-57
6/14/2023,-78
6/15/2023,-7
6/16/2023,28
6/20/2023,-8
6/21/2023,30
6/22/2023,27
6/23/2023,73
6/26/2023,63
6/27/2023,-72
6/28/2023,99
6/29/2023,-14
6/30/2023,23
7/3/2023,22
7/5/2023,42
7/6/2023,-66
7/7/2023,21
7/10/2023,-19
7/11/2023,39
7/12/2023,-60
7/13/2023,65
7/14/2023,58
7/17/2023,72
7/18/2023,-88
7/19/2023,-98
7/20/2023,52
7/21/2023,9
7/24/2023,-11
7/25/2023,-13
7/26/2023,-35
7/27/2023,72
7/28/2023,31
7/31/2023,86
8/1/2023,40
8/2/2023,-40
8/3/2023,-30
8/4/2023,-50
8/7/2023,-86
8/8/2023,98
8/9/2023,-43
8/10/2023,-28
8/11/2023,47
8/14/2023,-59
8/15/2023,-98
8/16/2023,15
8/17/2023,73
8/18/2023,-4
8/21/2023,-68
8/22/2023,-49
8/23/2023,-68
8/24/2023,-70
8/25/2023,73
8/28/2023,-52
8/29/2023,-16
8/30/2023,-41
8/31/2023,29
9/1/2023,61
9/5/2023,-99
9/6/2023,-27
9/7/2023,72
9/8/2023,-48
9/11/2023,16
9/12/2023,61
9/13/2023,59
9/14/2023,-63
9/15/2023,-65
9/18/2023,-1
9/19/2023,66
9/20/2023,76
9/21/2023,9
9/22/2023,65
9/25/2023,-49
9/26/2023,-69
9/27/2023,50
9/28/2023,76
9/29/2023,19
10/2/2023,-76
10/3/2023,11
10/4/2023,-93
10/5/2023,11
10/6/2023,40
10/9/2023,-69
10/10/2023,-61
10/11/2023,90
10/12/2023,56
10/13/2023,77
10/16/2023,36
10/17/2023,92
10/18/2023,-79
10/19/2023,16
10/20/2023,-14
10/23/2023,-69
10/24/2023,26
10/25/2023,-2
10/26/2023,-82
10/27/2023,48
10/30/2023,32
10/31/2023,17
11/1/2023,-40
11/2/2023,-73
11/3/2023,-32
11/6/2023,96
11/7/2023,44
11/8/2023,16
11/9/2023,96
11/10/2023,-36
11/13/2023,41
11/14/2023,34
11/15/2023,-27
11/16/2023,-86
11/17/2023,71
11/20/2023,-22
11/21/2023,-68
11/22/2023,-57
11/24/2023,55
11/27/2023,-11
11/28/2023,6
11/29/2023,-6
11/30/2023,-97
12/1/2023,-62
12/4/2023,-18
12/5/2023,-20
12/6/2023,14
12/7/2023,-91
12/8/2023,40
12/11/2023,93
12/12/2023,-9
12/13/2023,52
12/14/2023,-57
12/15/2023,36
12/18/2023,4
12/19/2023,-80
12/20/2023,11
12/21/2023,41
12/22/2023,-73
12/26/2023,53
12/27/2023,-7
12/28/2023,-86
12/29/2023,30
